Trace,Tline Type,Routing,I/O,Trace Width (um),Intra-Pair (um),S - ES,S - Non-ES,Z (Default),Z (Min),Z (Max),A,"K, S - ES","K, S - Non-ES"
B*,MS,"1, 10","CNVio3, Differential Clock (Gen 3 and below support), PCIe Gen 1-3, TCP AUX, TCP USB 3.2 Type-A, eUSB2",75,88,200,300,92,,,-0.97,-0.125,0.277
B*,MS,"1, 10","CSI DPHY, HDMI, eDP",75,88,250,375,92,,,-0.97,-0.173,0.157
B*,MS,"1, 10","Differential Clock (Gen 4 support), Differential Clock (Gen 5 support)",75,88,375,500,92,,,-0.97,-0.145,0.074
B*,MS,"1, 10",CSI CPHY,81,88,88,375,89,,,-0.98,0.537,0.161
B*,MS,"1, 10","PCIe Gen 4, UFS 4.0",81,88,375,375,89,,,-0.95,-0.155,0.161
B*,MS,"1, 10","TCP DP, PCIe Gen 5, TCP TBT4, TCP TBT5",81,88,500,500,89,,,-0.95,-0.101,0.077
B*,MS,"1, 10","(Internal) eUSB2V2, USB 3.2 Gen 1, USB 3.2 Gen 2",81,88,300,300,89,,,-0.95,-0.186,0.282
B*,SL,"3, 8",(Internal) eUSB2V2,75,88,300,300,78,,,-0.88,0.012,0.012
B*,SL,6,(Internal) eUSB2V2,75,88,300,300,79,,,-0.8,0.04,0.04
M*,MS,"1, 10",(Internal) eUSB2V2,110,100,750,500,80,,,-0.89,-0.06,0.1
M*,SL,"3, 8",(Internal) eUSB2V2,75,115,450,500,80,,,-0.87,0,0
M*,SL,6,(Internal) eUSB2V2,80,120,450,500,80,,,-0.78,0.003,0.001
